task_name,time_bin,n_biopsies,mean_image_weight,mean_cnv_weight,mean_prediction_score,std_image_weight
Progressor_label,0-180,1,0.4326226082267968,0.5673773917732032,0.7882973253726959,
Progressor_label,181-365,10,0.618204970037841,0.3817950299621588,0.7745280002243817,0.20322623549578825
Progressor_label,366-730,13,0.6229268421552133,0.3770731578447866,0.5719767223374966,0.19306052053710895
Progressor_label,731-1095,18,0.6389270551086581,0.3610729448913417,0.5880147390705707,0.1968325530471828
Progressor_label,1096+,49,0.4964579983461978,0.5035420016538021,0.5010673773576361,0.2531571280646854
NextBiopsyProgression_LGD3plus,0-180,1,0.6240884972104316,0.3759115027895684,0.8586206436157227,
NextBiopsyProgression_LGD3plus,181-365,10,0.6018587917872537,0.3981412082127464,0.7738098502159119,0.20438017900536865
NextBiopsyProgression_LGD3plus,366-730,13,0.610834530286823,0.38916546971317695,0.5844120022196037,0.21824176654830546
NextBiopsyProgression_LGD3plus,731-1095,18,0.571475161380852,0.428524838619148,0.5261281906730599,0.27837119340603395
NextBiopsyProgression_LGD3plus,1096+,49,0.5427408507075264,0.4572591492924735,0.15442327863660912,0.3130816891718985
