n_patients,n_positive,n_negative,n_boot,valid_fraction,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_auprc_sign_prob,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_roc_auc_sign_prob,delta_brier,delta_brier_ci_low,delta_brier_ci_high,delta_brier_sign_prob,contrast,contrast_type
155,55,100,5000,1.0,0.11860570264849257,-0.010100807596748699,0.23369196679006435,0.0728,0.07872727272727276,-0.002760878756752888,0.16635840100716812,0.0572,0.016774783392943887,-0.025207816512710687,0.05893530589774077,0.4496,image_uni2_abmil - cnv_only,prespecified
155,55,100,5000,1.0,0.18853759726318298,0.066053659485725,0.29399046412408886,0.0004,0.13,0.05779684593992355,0.21050815477921758,0.0004,-0.05111163670243882,-0.08352006570526531,-0.018046550521935437,0.0007999999999999119,early_fusion_uni2 - cnv_only,prespecified
155,55,100,5000,1.0,0.178131593884013,0.050725549782771426,0.2883295781813195,0.002,0.10999999999999999,0.029682945442860806,0.1914711607020429,0.0064,0.00021228857082666863,-0.04348149220805624,0.04552468522533878,0.9944,intermediate_fusion(best) - cnv_only,model_selected
155,55,100,5000,1.0,0.12032809024735236,0.015677192580463076,0.21580759804140465,0.0192,0.08763636363636373,0.023079610281885397,0.15751779723897694,0.0076,-0.02008666880911339,-0.040111249779203106,-0.0009110499399366961,0.04039999999999999,late_fusion_uni2_mean - cnv_only,prespecified
155,55,100,5000,1.0,0.13591333894360313,0.02352314313864122,0.24077635704098008,0.0124,0.09909090909090912,0.029942279942280048,0.17327905782055003,0.0032,-0.020760774044829566,-0.040696399461214984,-0.0015122742598705937,0.03400000000000003,late_fusion(best) - cnv_only,model_selected
155,55,100,5000,1.0,0.0699318946146904,-0.004246136588075143,0.1441207968830428,0.0672,0.05127272727272725,0.0064989088925259016,0.0991980894518023,0.0224,-0.0678864200953827,-0.09491566056141594,-0.04036806035761049,0.0,early_fusion_uni2 - image_uni2_abmil,prespecified
155,55,100,5000,1.0,0.06820950701583062,-0.0001575991098438838,0.13692101058816925,0.0508,0.04236363636363627,0.003934654005142661,0.08467678803326095,0.0292,-0.031024967893325428,-0.05145157161938155,-0.009856612945796261,0.0036000000000000476,early_fusion_uni2 - late_fusion_uni2_mean,prespecified
