,uni2,virchow2,gigapath
0,0.13739569503395585,0.016869249526602584,0.9050695177770887
1,0.5056821868429128,-0.32231486929558434,0.7297269659038448
2,0.23112660552548328,-0.23021658641422768,0.9871597112979762
3,0.49982619983315735,-0.22059645931096722,0.6539983101161952
4,0.610261594131556,-0.09008864056342461,0.37684246580033454
mean,0.39685845627341304,-0.16926946121152026,0.7305593941790879
