threshold,treat_all,treat_none,clinical,cnv,image,cnv_image_fusion,clinical_cnv,clinical_image,clinical_cnv_image
0.05,0.2982456140350877,0.0,0.2982456140350877,0.29894736842105263,0.29859649122807014,0.2982456140350877,0.2982456140350877,0.2982456140350877,0.2982456140350877
0.06,0.2907801418439716,0.0,0.2907801418439716,0.29163120567375883,0.29120567375886525,0.29120567375886525,0.2907801418439716,0.29120567375886525,0.2907801418439716
0.07,0.28315412186379924,0.0,0.28315412186379924,0.2841577060931899,0.2836559139784946,0.2836559139784946,0.28315412186379924,0.2836559139784946,0.28315412186379924
0.08,0.2753623188405797,0.0,0.2753623188405797,0.2776811594202898,0.27594202898550724,0.27594202898550724,0.2753623188405797,0.27594202898550724,0.27594202898550724
0.09,0.2673992673992674,0.0,0.2673992673992674,0.2706959706959707,0.2687179487179487,0.26805860805860804,0.2673992673992674,0.26805860805860804,0.26805860805860804
0.09999999999999999,0.25925925925925924,0.0,0.25925925925925924,0.2562962962962963,0.2622222222222222,0.26,0.25925925925925924,0.26,0.2607407407407407
0.10999999999999999,0.250936329588015,0.0,0.250936329588015,0.24921348314606742,0.25670411985018726,0.25258426966292136,0.250936329588015,0.25176029962546814,0.2534082397003745
0.12,0.2424242424242424,0.0,0.24242424242424243,0.22878787878787882,0.2496969696969697,0.24515151515151515,0.24242424242424243,0.24424242424242423,0.24515151515151515
0.13,0.23371647509578541,0.0,0.23371647509578541,0.21701149425287353,0.24168582375478925,0.23670498084291186,0.23371647509578541,0.23670498084291186,0.23770114942528733
0.13999999999999999,0.22480620155038758,0.0,0.2248062015503876,0.21224806201550386,0.23457364341085268,0.22806201550387598,0.2248062015503876,0.22806201550387598,0.22914728682170543
0.14999999999999997,0.21568627450980393,0.0,0.21568627450980393,0.1890196078431373,0.2274509803921569,0.2203921568627451,0.21568627450980393,0.21921568627450982,0.2203921568627451
0.15999999999999998,0.20634920634920634,0.0,0.20634920634920637,0.18507936507936512,0.2215873015873016,0.21523809523809523,0.20634920634920637,0.21015873015873016,0.21269841269841272
0.16999999999999998,0.1967871485943775,0.0,0.19678714859437751,0.1883534136546185,0.21317269076305223,0.20907630522088355,0.19678714859437751,0.2036144578313253,0.20497991967871484
0.18,0.18699186991869918,0.0,0.1869918699186992,0.18569105691056914,0.19934959349593498,0.20601626016260163,0.18845528455284552,0.19577235772357723,0.19723577235772358
0.19,0.17695473251028804,0.0,0.17695473251028807,0.18502057613168726,0.1906172839506173,0.20041152263374484,0.1785185185185185,0.18790123456790123,0.18790123456790123
0.19999999999999996,0.16666666666666666,0.0,0.16666666666666669,0.18500000000000005,0.18333333333333335,0.19666666666666668,0.16833333333333333,0.18000000000000002,0.18000000000000002
