model,n_pat,n_pos,auprc,roc,brier,auprc_lo,auprc_hi,roc_lo,roc_hi
cnv_only,150,50,0.5385,0.663,0.216,0.41,0.6742,0.5711,0.7581
uni2_late_mean(headline),150,50,0.6296,0.7742,0.1842,0.4969,0.7697,0.6938,0.8466
gigapath_late_mean,150,50,0.6238,0.77,0.1798,0.4884,0.7579,0.6881,0.8422
"cnv+mean(uni2,giga)",150,50,0.6354,0.7764,0.1806,0.5042,0.7722,0.6942,0.8509
virchow2_late_mean,150,50,0.5582,0.7106,0.1951,0.4308,0.7035,0.6207,0.7946
