source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,n_folds_total,n_folds_skipped,skip_reasons,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_2y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_2y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9751208538552566,0.014553767060717543,0.9763774611513829,0.012680641380644165,0.8953226219883836,0.022534329052755805,0.8785795255033599,0.03103936616749468,0.915686798007932,0.07264350354141953,0.8971331617556458,0.02207297391450898,0.07402999993164833,0.01018796119753805,0.08201413815079564,0.02492696489845281,0.8940412975762339,0.052092010401476777,0.8486758422883611,0.09331510481593507,0.9092388589506827,0.05334442566282861,0.8290702484030152,0.15221921855712023,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_lgd_hgd_imc,expert_mm_only,multimodal,AtRisk_2y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9751208538552566,0.014553767060717529,0.9763774611513828,0.012680641380644194,0.8953226219883836,0.022534329052755837,0.8785795255033599,0.0310393661674947,0.915686798007932,0.0726435035414195,0.8971331617556458,0.022072973914508975,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/all_samples/AtRisk_3y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.9145794423823987,0.02499144444265471,0.924286327103619,0.03457617355506007,0.803784460452011,0.029796097631561894,0.7645625280709492,0.1156743495197309,0.874078849551396,0.11946477993542019,0.8193206888111726,0.026813211302574795,0.14549661264622235,0.020657632845841885,0.13832932050473348,0.03614145915259306,0.7271325173444086,0.06527551111047197,0.601735614462009,0.09782897682526172,0.7348881123721982,0.10828817671377683,0.6606973601442274,0.11602284437341552,,,,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,expert_mm_only,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.9145794423823987,0.024991444442654668,0.9242863271036192,0.034576173555060014,0.803784460452011,0.029796097631561894,0.7645625280709492,0.1156743495197309,0.874078849551396,0.11946477993542018,0.8193206888111726,0.026813211302574795,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_3y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9473815935078195,0.022728855994817738,0.9462406057723305,0.028921719074009037,0.8345570448991502,0.02410643468767739,0.8275509835311183,0.09453508710214761,0.8620070931421158,0.1117462070909614,0.844779038336617,0.014772929301762766,0.1164318958216842,0.022684172531547156,0.13457566828720574,0.02314672543314579,0.8067740390713164,0.11337676979948458,0.7574592241511078,0.09553072098793451,0.826302564726723,0.06734303768040142,0.680605703063183,0.18772867216865313,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_mm_only,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9473815935078195,0.022728855994817738,0.9462406057723305,0.028921719074009082,0.8345570448991502,0.02410643468767743,0.8275509835311183,0.09453508710214761,0.8620070931421158,0.11174620709096138,0.844779038336617,0.014772929301762744,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_3y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9513307792512469,0.04812254961599813,0.943879130797819,0.060585535828024346,0.8693559470082765,0.09386000125900999,0.8433829891039194,0.14752637485803896,0.8997608022990026,0.14536093238310288,0.8715718957014609,0.08528235334387825,0.10759356526501943,0.07153077188169718,0.12962647144561554,0.0649198390676678,0.8649339187943837,0.12132651413702236,0.8047209844419146,0.18891786766593802,0.8465302552569106,0.1823665535785138,0.7411081773348327,0.21474050145133558,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_lgd_hgd_imc,expert_mm_only,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9513307792512469,0.0481225496159981,0.943879130797819,0.06058553582802436,0.8693559470082765,0.09386000125900996,0.8433829891039192,0.14752637485803896,0.8997608022990026,0.14536093238310288,0.8715718957014609,0.08528235334387826,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/all_samples/AtRisk_4y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8959271950277156,0.016681420396421988,0.8867065213874451,0.04492236483719382,0.7869739399452831,0.024131100283830104,0.7302016832242082,0.08107640370331953,0.8565794508520476,0.10115286193719701,0.7933905670381278,0.026631089413347523,0.15004608569561803,0.0149128532370317,0.12944491362643046,0.019066748504958864,0.7011192434534272,0.050913984031020716,0.5487048569457571,0.11255141042197804,0.6765171909830167,0.09860165755077638,0.5924822225496931,0.08359673328441884,,,,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,expert_mm_only,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8959271950277156,0.016681420396421988,0.8867065213874451,0.0449223648371938,0.7869739399452833,0.02413110028383011,0.7302016832242082,0.08107640370331959,0.8565794508520475,0.101152861937197,0.7933905670381278,0.026631089413347523,,,,,,,,,,,,,,,,,,,,,,,,
