source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,n_folds_total,n_folds_skipped,skip_reasons,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,best_score_metric,best_score
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_4y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9172325059799851,0.031201316176605893,0.900708191710693,0.04399595814193602,0.797940851230325,0.048210902058454935,0.7855352070118198,0.12717854663373002,0.8341793356436582,0.12343513187800624,0.8098572713277388,0.031161216442979624,0.14111840640840273,0.03707637399887448,0.12996634082590863,0.056843143849696874,0.7173991376620281,0.058010117211896396,0.606984538589966,0.09790235315314269,0.6924241983442909,0.16015667177866785,0.6259479332084253,0.17667993165925058,,,,,,,,,,,,,auc_mean,0.9172325059799851
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_4y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9340192021012873,0.044687964436939544,0.9043539434347141,0.05944266263510497,0.8500358168554651,0.04292492852609517,0.8098491368001259,0.11056262435827764,0.8789088362617774,0.04838738788928852,0.8443789865309516,0.055020421815178376,0.10910211501881686,0.024893961024194177,0.10357928234355862,0.062366063991214186,0.8168802114958383,0.1230921118760422,0.7145298440518045,0.1709070395739706,0.777310924369748,0.22097455722592177,0.6946008403361345,0.19742360769048337,,,,,,,,,,,,,auc_mean,0.9340192021012873
virchow2/runs/multimodal/all_samples/AtRisk_5y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8909961550869865,0.03796033259115845,0.8669444162401605,0.01973558814146225,0.7990180248862545,0.05195358971162876,0.7589961086918491,0.14583522335914278,0.8491487783597955,0.04141376300506866,0.8040724435258223,0.056122206160297575,0.14289147466448257,0.029308403369469913,0.10905763319238151,0.042526784521099134,0.6764585200690678,0.11929648577697984,0.5508549822951445,0.12490755779807217,0.702190136786103,0.14901998412166362,0.5684844736299952,0.14709154341457295,,,,,,,,,,,,,auc_mean,0.8909961550869865
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_5y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9032087153641862,0.028716317054013497,0.8703293335211715,0.05769214254348783,0.7584174666016772,0.1098810820515738,0.8480110213306089,0.12176063840145111,0.7375298868938396,0.1730581569481083,0.7927704541122242,0.07047484013786248,0.16147634284589807,0.05379841773372604,0.1700069215728825,0.08545265339366977,0.730118541221634,0.09310228594494664,0.6329690412061547,0.07727336353965965,0.6864657990532816,0.09936404865656175,0.532655185127112,0.1718092298277357,,,,,,,,,,,,,auc_mean,0.9032087153641862
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_5y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9092283344953234,0.056841649780027384,0.8544892604016935,0.07296636703910944,0.7917397856651343,0.09796553536057072,0.8782086927196806,0.09687915036598777,0.7533395929519056,0.12725118371243738,0.815774142835793,0.09176224093835379,0.1306603783109543,0.04946279276963552,0.1631914289526628,0.04963108057782916,0.7352897656180483,0.16661074898758724,0.6704836469930271,0.17355504246542847,0.7337020635610616,0.18886781858504978,0.5654525311800904,0.21860163357544946,,,,,,,,,,,,,auc_mean,0.9092283344953234
routing/routing_moe_20260304_200011,all_samples,ensemble_available_mean,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.6288083021521935,0.02737472609081398,,,,,,,,,,,,,,,,,,,0.26374745008250405,0.04690129563739356,0.7444771888609951,,,,,,,,,,macro_auc_ovr_mean,0.7444771888609951
routing/routing_moe_20260304_200011,exclude_hgd_imc,ensemble_available_stack_logit,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7122149462675778,0.0487128105553008,,,,,,,,,,,,,,,,,,,0.33931726823238695,0.059064524590496416,0.7694723569662806,0.05259251239575654,,,,,,,,,macro_auc_ovr_mean,0.7694723569662806
virchow2/runs/multimodal/exclude_lgd_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,,,,,0.8435943368307489,0.03307003805490672,,,,,,,,,,,,,,,,,,,0.6401437827419028,0.03710945582327092,,,,,,,,,,,macro_auc_ovr_mean,0.6401437827419028
virchow2/runs/multimodal/all_samples/DaysSincePreviousBiopsy_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,DaysSincePreviousBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.971467884926774,7.82748373196347,3552.433457986523,2571.0817792870666,57.18241443197218,18.79511032545109,0.9866500206377452,0.002246854263711653,mae_mean,39.971467884926774
virchow2/runs/multimodal/exclude_hgd_imc/DaysSincePreviousBiopsy_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,DaysSincePreviousBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.32043178822103,7.21507913997958,4115.372190607078,1416.639467533958,63.32042439092824,11.50521868326602,0.977742618577723,0.012852941106478074,mae_mean,48.32043178822103
