model_group,unit,n_eval,n_progressors,n_non_progressors,auc_progression,accuracy_at_0.5,sensitivity_at_0.5,specificity_at_0.5,fnr_at_0.5,fn_count_at_0.5,tp_count_at_0.5,sensitivity_at_spec90,sensitivity_at_spec95,clinical_line
Top image-only,biopsy_sample,520,122,398,0.6861973803443446,0.5711538461538461,0.7213114754098361,0.5251256281407035,0.2786885245901639,34,88,0.30327868852459017,0.20491803278688525,the model missed 34 in 122 progression biopsy samples
Top CNV-only,biopsy_sample,520,122,398,0.5905346404151908,0.5326923076923077,0.5983606557377049,0.5125628140703518,0.4016393442622951,49,73,0.2704918032786885,0.16393442622950818,the model missed 49 in 122 progression biopsy samples
Best multimodal,biopsy_sample,520,122,398,0.6456462641074223,0.5711538461538461,0.6721311475409836,0.5402010050251256,0.3278688524590164,40,82,0.2459016393442623,0.14754098360655735,the model missed 40 in 122 progression biopsy samples
Best MoE,biopsy_sample,520,122,398,0.6807809539500782,0.5807692307692308,0.680327868852459,0.5502512562814069,0.319672131147541,39,83,0.3114754098360656,0.22131147540983606,the model missed 39 in 122 progression biopsy samples
