task_name,model_id,modality,encoder,model_name,aggregation_level,aggregation_strategy,n_eval,n_pos,n_neg,auc,sensitivity,specificity,accuracy,error_rate,fnr,fn_count,tp_count,report_section,from_biopsy_strategy,richness_axis,group_name,from_patient_strategy,biopsy_count_group
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,patient,patient_mean,160,38,122,0.8854616048317515,0.8947368421052632,0.6557377049180327,0.7125,0.2875,0.10526315789473684,4,34,task2_patient_aggregation,biopsy_max,,,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,patient,patient_max,160,38,122,0.9152286453839517,0.9736842105263158,0.5081967213114754,0.61875,0.38125,0.02631578947368421,1,37,task2_patient_aggregation,biopsy_max,,,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,patient,patient_mean,160,38,122,0.8438308886971527,0.13157894736842105,0.9344262295081968,0.74375,0.25625,0.868421052631579,33,5,task2_patient_aggregation,biopsy_mean,,,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,patient,patient_max,160,38,122,0.8545081967213114,0.6578947368421053,0.8524590163934426,0.80625,0.19374999999999998,0.34210526315789475,13,25,task2_patient_aggregation,biopsy_mean,,,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,patient,patient_mean,160,38,122,0.8794219154443487,0.6842105263157895,0.8934426229508197,0.84375,0.15625,0.3157894736842105,12,26,task2_patient_aggregation,biopsy_mean,,,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,patient,patient_max,160,38,122,0.9020707506471095,0.868421052631579,0.7868852459016393,0.80625,0.19374999999999998,0.13157894736842105,5,33,task2_patient_aggregation,biopsy_mean,,,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,patient,patient_mean,155,51,104,0.6595022624434389,0.5686274509803921,0.6346153846153846,0.6129032258064516,0.3870967741935484,0.43137254901960786,22,29,task2_patient_aggregation,biopsy_max,,,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,patient,patient_max,155,51,104,0.7818627450980392,0.8431372549019608,0.49038461538461536,0.6064516129032258,0.3935483870967742,0.1568627450980392,8,43,task2_patient_aggregation,biopsy_max,,,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,patient,patient_mean,155,51,104,0.7818627450980392,0.09803921568627451,1.0,0.7032258064516129,0.2967741935483871,0.9019607843137255,46,5,task2_patient_aggregation,biopsy_max,,,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,patient,patient_max,155,51,104,0.8231523378582202,0.35294117647058826,0.9711538461538461,0.7677419354838709,0.23225806451612907,0.6470588235294118,33,18,task2_patient_aggregation,biopsy_max,,,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,patient,patient_mean,155,51,104,0.8616138763197587,0.49019607843137253,0.9230769230769231,0.7806451612903226,0.21935483870967742,0.5098039215686274,26,25,task2_patient_aggregation,biopsy_max,,,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,patient,patient_max,155,51,104,0.8855580693815988,0.9215686274509803,0.5673076923076923,0.6838709677419355,0.31612903225806455,0.0784313725490196,4,47,task2_patient_aggregation,biopsy_max,,,,
