model,n_patients,auprc,brier,roc_auc
longitudinal,150,0.5752045563538017,0.22512539882354887,0.7168000000000001
cnv_only,150,0.5384535363777875,0.2159536835246922,0.663
image_only,150,0.5570344445745175,0.24525580649306414,0.7312000000000001
late_mean,150,0.6296063673808115,0.18416471503194634,0.7742
intermediate_fusion,150,0.5674716441983725,0.2241938929121184,0.7414
